cluster_id,profile_file,row_in_file,radius_deg,radius_arcsec,pm_disp_p02_masyr,pm_disp_p16_masyr,pm_disp_p50_masyr,pm_disp_p84_masyr,pm_disp_p98_masyr,pm_rot_p02_masyr,pm_rot_p16_masyr,pm_rot_p50_masyr,pm_rot_p84_masyr,pm_rot_p98_masyr,pm_rot_aux_masyr
NGC0104,profiles/NGC_104_47Tuc.txt,41,0.266667,960.0012,0.241442,0.243343,0.244694,0.246096,0.247508,-0.163694,-0.156401,-0.148855,-0.140912,-0.132612,-0.19395
NGC0104,profiles/NGC_104_47Tuc.txt,42,0.273333,983.9988,0.238456,0.240379,0.24169,0.24305,0.244433,-0.161723,-0.154561,-0.146919,-0.139058,-0.130852,-0.190837
NGC0104,profiles/NGC_104_47Tuc.txt,43,0.28,1008.0,0.23557,0.237543,0.238829,0.240171,0.241484,-0.159852,-0.153008,-0.145275,-0.137378,-0.129203,-0.187785
NGC0104,profiles/NGC_104_47Tuc.txt,44,0.286667,1032.0012,0.232873,0.234773,0.23609,0.237378,0.238666,-0.158532,-0.151596,-0.143757,-0.135728,-0.127972,-0.184795
NGC0104,profiles/NGC_104_47Tuc.txt,45,0.293333,1055.9988,0.23019,0.232054,0.233449,0.234758,0.236013,-0.157428,-0.150247,-0.142401,-0.13425,-0.126643,-0.18187
NGC0104,profiles/NGC_104_47Tuc.txt,46,0.3,1080.0,0.22761,0.229422,0.230907,0.232296,0.23353,-0.156267,-0.14905,-0.141198,-0.133003,-0.125243,-0.179008
NGC0104,profiles/NGC_104_47Tuc.txt,47,0.306667,1104.0012000000002,0.224919,0.226861,0.228461,0.229932,0.231113,-0.15541,-0.147893,-0.140017,-0.13161,-0.123728,-0.17621
NGC0104,profiles/NGC_104_47Tuc.txt,48,0.313333,1127.9987999999998,0.222404,0.224339,0.226102,0.227612,0.228848,-0.154541,-0.146967,-0.138912,-0.130316,-0.122243,-0.173476
NGC0104,profiles/NGC_104_47Tuc.txt,49,0.32,1152.0,0.219967,0.221917,0.223782,0.225354,0.226649,-0.153622,-0.145695,-0.137779,-0.129063,-0.120906,-0.170804
NGC0104,profiles/NGC_104_47Tuc.txt,50,0.326667,1176.0012,0.217517,0.219571,0.221535,0.223204,0.224607,-0.152552,-0.144582,-0.13661,-0.127793,-0.119439,-0.168196
NGC0104,profiles/NGC_104_47Tuc.txt,51,0.333333,1199.9988,0.215182,0.217271,0.219382,0.221106,0.222622,-0.15149,-0.143278,-0.135233,-0.126325,-0.117671,-0.165649
NGC0104,profiles/NGC_104_47Tuc.txt,52,0.34,1224.0,0.212904,0.215055,0.21723,0.219075,0.220612,-0.150369,-0.141969,-0.133745,-0.124767,-0.115898,-0.163162
NGC0104,profiles/NGC_104_47Tuc.txt,53,0.346667,1248.0012,0.210786,0.212933,0.215124,0.217061,0.21874,-0.149171,-0.140508,-0.132176,-0.123164,-0.11418,-0.160735
NGC0104,profiles/NGC_104_47Tuc.txt,54,0.353333,1271.9988,0.208707,0.21086,0.213102,0.2151,0.216852,-0.147759,-0.139014,-0.13057,-0.121384,-0.112478,-0.158366
NGC0104,profiles/NGC_104_47Tuc.txt,55,0.36,1296.0,0.206626,0.208846,0.211135,0.21316,0.214994,-0.146114,-0.137324,-0.128909,-0.119585,-0.110834,-0.156054
NGC0104,profiles/NGC_104_47Tuc.txt,56,0.366667,1320.0012000000002,0.204623,0.206903,0.209201,0.211291,0.213199,-0.144405,-0.135567,-0.127088,-0.117755,-0.108971,-0.153798
NGC0104,profiles/NGC_104_47Tuc.txt,57,0.373333,1343.9988,0.202708,0.205034,0.207319,0.209469,0.211464,-0.142474,-0.133731,-0.12519,-0.115926,-0.107151,-0.151596
NGC0104,profiles/NGC_104_47Tuc.txt,58,0.38,1368.0,0.20086,0.203226,0.205497,0.207682,0.209747,-0.140326,-0.131811,-0.123214,-0.114075,-0.105121,-0.149446
NGC0104,profiles/NGC_104_47Tuc.txt,59,0.386667,1392.0012,0.199063,0.20148,0.20372,0.205969,0.208098,-0.138339,-0.12989,-0.121227,-0.112103,-0.103108,-0.147349
NGC0104,profiles/NGC_104_47Tuc.txt,60,0.393333,1415.9987999999998,0.19741,0.199808,0.202039,0.204262,0.206476,-0.136114,-0.127863,-0.119098,-0.110143,-0.100967,-0.145301
NGC0104,profiles/NGC_104_47Tuc.txt,61,0.4,1440.0,0.195719,0.198181,0.200406,0.202657,0.204803,-0.133836,-0.125714,-0.116928,-0.10801,-0.0990836,-0.143303
NGC0104,profiles/NGC_104_47Tuc.txt,62,0.406667,1464.0012,0.194194,0.196619,0.198799,0.201056,0.203265,-0.13162,-0.123441,-0.114665,-0.105864,-0.0970804,-0.141352
NGC0104,profiles/NGC_104_47Tuc.txt,63,0.413333,1487.9988,0.192615,0.195077,0.19725,0.199507,0.201728,-0.129231,-0.121259,-0.112447,-0.103689,-0.0952332,-0.139447
