cluster_id,cluster_name_raw,radius_arcsec,N_stars,sigma_kms,sigma_err_up_kms,sigma_err_low_kms,data_type
NGC6397,NGC 6397,6.2,42.0,5.39,0.42,0.42,LI22
NGC6397,NGC 6397,7.17,200.0,5.74,0.33,0.3,RV
NGC6397,NGC 6397,15.11,200.0,5.51,0.31,0.29,RV
NGC6397,NGC 6397,20.34,96.0,5.14,0.27,0.27,LI22
NGC6397,NGC 6397,21.11,200.0,5.5,0.31,0.29,RV
NGC6397,NGC 6397,28.51,200.0,5.48,0.31,0.29,RV
NGC6397,NGC 6397,37.04,96.0,5.24,0.28,0.28,LI22
NGC6397,NGC 6397,37.13,200.0,4.96,0.29,0.26,RV
NGC6397,NGC 6397,50.63,96.0,5.25,0.28,0.28,LI22
NGC6397,NGC 6397,55.43,200.0,5.02,0.28,0.26,RV
NGC6397,NGC 6397,63.6,96.0,4.49,0.24,0.24,LI22
NGC6397,NGC 6397,80.97,96.0,5.42,0.28,0.28,LI22
NGC6397,NGC 6397,87.11,200.0,4.65,0.25,0.24,RV
NGC6397,NGC 6397,98.86,95.0,4.17,0.24,0.24,LI22
NGC6397,NGC 6397,119.11,450.0,4.54,0.16,0.15,VB21
NGC6397,NGC 6397,119.4,200.0,4.02,0.22,0.21,RV
NGC6397,NGC 6397,150.05,200.0,4.02,0.22,0.21,RV
NGC6397,NGC 6397,175.71,450.0,4.23,0.15,0.14,VB21
NGC6397,NGC 6397,186.23,200.0,3.99,0.21,0.2,RV
