sample_order,cluster_id,hst_n_bins,hst_n_stars_total,hst_radius_min_arcsec,hst_radius_max_arcsec,hst_sigma_median_masyr,hst_sigma_center_masyr,hst_sigma_gradient_loglog,hst_sigma_curvature_abs,hst_outer_inner_sigma_ratio,hst_beta_pm_median,hst_beta_pm_abs_median,gaia_profile_n_bins,gaia_radius_min_arcsec,gaia_radius_max_arcsec,gaia_pm_disp_median_masyr,gaia_pm_disp_center_masyr,gaia_pm_disp_gradient_loglog,gaia_pm_disp_curvature_abs,gaia_outer_inner_disp_ratio,gaia_pm_rot_abs_max_masyr,gaia_rotation_support_proxy,vel_all_n_bins,vel_all_n_stars_total,vel_all_radius_min_arcsec,vel_all_radius_max_arcsec,vel_all_sigma_median_kms,vel_all_sigma_center_kms,vel_all_sigma_gradient_loglog,vel_all_sigma_curvature_abs,vel_all_outer_inner_sigma_ratio,vel_rv_n_bins,vel_rv_sigma_median_kms,vel_rv_sigma_gradient_loglog,vel_vb21_n_bins,vel_vb21_sigma_median_kms,vel_vb21_sigma_gradient_loglog,vel_li22_n_bins,vel_li22_sigma_median_kms,vel_li22_sigma_gradient_loglog,vel_w15_n_bins,vel_w15_sigma_median_kms,vel_w15_sigma_gradient_loglog,vel_p22_n_bins,vel_p22_sigma_median_kms,vel_p22_sigma_gradient_loglog,vel_f13_n_bins,vel_f13_sigma_median_kms,vel_f13_sigma_gradient_loglog,vel_l13_n_bins,vel_l13_sigma_median_kms,vel_l13_sigma_gradient_loglog,vel_k18_n_bins,vel_k18_sigma_median_kms,vel_k18_sigma_gradient_loglog,vel_c21_n_bins,vel_c21_sigma_median_kms,vel_c21_sigma_gradient_loglog,vel_d21_n_bins,vel_d21_sigma_median_kms,vel_d21_sigma_gradient_loglog,vel_g22_n_bins,vel_g22_sigma_median_kms,vel_g22_sigma_gradient_loglog,vel_t22_n_bins,vel_t22_sigma_median_kms,vel_t22_sigma_gradient_loglog
21,NGC6121,6,606.0,13.4955,106.7347,0.559,0.582,-0.015555758338030686,0.14794392727844996,0.9762741652021091,0.058563759188076936,0.1154032287926608,101,18.0,1800.0,0.303164,0.525757,-0.2870651629665268,0.38547137900807377,0.45255084184566285,0.0274111,0.09041673813513479,36,13841.0,13.5,998.32,4.03,5.11,-0.20948743312568024,0.29416604030240884,0.6306584362139919,15,4.03,-0.18002684280506617,15,3.72,-0.27379568964900775,6,4.904999999999999,-0.016718158647011115,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
22,NGC6144,5,588.0,14.3554,78.4436,0.098,0.098,-0.04379241130051868,0.17511707072627794,0.9489795918367346,0.03921184197627692,0.2815419501133787,101,3.6,360.0,0.051568,0.100278,-0.3710486030072464,0.5853725038566964,0.3491234707757983,0.035752,0.6932981694073844,7,694.0,14.36,138.93,3.59,3.79,-0.11327902919622897,0.5634579076239897,0.7207207207207207,1,2.56,,1,3.04,,5,3.79,-0.0449432131610331,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
23,NGC6171,6,1039.0,7.0431,81.74,0.1325,0.131,-0.03475697237444936,0.16350516069929036,0.9636363636363636,0.004394921126674833,0.11217923875432528,101,6.000012,600.0012,0.090763,0.147972,-0.3161507381429894,0.5647954119200053,0.39258259292066205,0.0157292,0.17329969260601785,17,2275.0,7.04,544.67,3.5,3.5,-0.12029774246909043,0.2293111234282275,0.7086720867208672,7,3.53,-0.17435012083639417,4,2.895,-0.20694312757962688,6,3.54,-0.035290784051301115,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
24,NGC6205,21,5263.0,6.8744,100.1628,0.228,0.259,-0.08818122323272386,0.1691046755286527,0.8875502008032129,0.05285395408163285,0.10337536220534116,101,15.000012,1500.0012,0.0972088,0.212685,-0.3405857063700949,0.3183558250190038,0.4055083231929257,0.0215923,0.22212289422356823,32,7094.0,6.87,820.44,7.789999999999999,9.11,-0.21402312742606697,0.31065460440058634,0.6107305936073059,6,5.915,-0.2798716419388512,5,5.54,-0.4025246655452494,21,8.02,-0.08809851748323093,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
25,NGC6218,11,1332.0,10.4237,92.7132,0.177,0.174,-0.053626009756217,0.3979156944087814,0.9184782608695653,0.010666590408647592,0.11848765432098751,101,9.0,900.0,0.0961482,0.213139,-0.3694844716806802,0.4513279672451657,0.37379578786404394,0.0310172,0.3225978229441633,34,7249.0,9.86,539.35,4.2,5.16,-0.17671661802134508,0.2774862801097143,0.6338329764453962,13,4.54,-0.17623150170572552,10,3.265,-0.375411117706881,11,4.29,-0.05243898434873154,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
26,NGC6254,16,1866.0,10.752,96.1468,0.2405,0.265,-0.06738549348594587,0.15899868292928535,0.888015717092338,-0.1250143908813014,0.13458051126036674,101,11.999988,1199.9988,0.122528,0.225855,-0.33534890820394936,0.4678069023631787,0.3928293932582099,0.0206198,0.16828643248890052,36,8145.0,7.85,574.92,5.73,6.45,-0.18415801902446116,0.30877310494200083,0.6901062959934586,17,5.59,-0.1492946241323338,4,3.915,-0.41559636647079745,15,5.79,-0.060182557571759325,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
27,NGC6304,8,887.0,6.636,73.9388,0.1775,0.172,-0.032164810422713117,0.40619203701747575,0.956772334293948,0.036135945084030396,0.144405994398409,101,2.9999988,299.99988,0.120576,0.17587,-0.16581771424618846,0.1821900123247482,0.6524458083210055,0.0307159,0.2547430666135881,14,1212.0,6.64,177.87,5.035,5.02,-0.10380568296984717,0.4468228794170652,0.7352941176470589,4,4.845,-0.276982396669753,2,3.775,,8,5.175,-0.03231938045405322,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
28,NGC6341,22,3094.0,3.2414,100.7625,0.186,0.193,-0.11835651947860848,0.3031777879549948,0.7707317073170732,0.010510865253330115,0.1872102811163754,101,9.0,900.0,0.0783062,0.252162,-0.3973563482394483,0.13570526429306928,0.37044510503145006,0.0627653,0.8015367876362279,33,3735.0,3.24,570.84,6.97,7.78,-0.23447643788594943,0.3465918081872356,0.5536159600997507,8,4.720000000000001,-0.30609520638177234,3,5.21,-0.3896622298724092,22,7.5,-0.11841031082372297,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
29,NGC6352,6,794.0,11.6906,76.8893,0.1235,0.12,-0.022603973499333466,0.07750372274451783,0.9841269841269841,-0.007905015810031557,0.10351738667561344,101,6.000012,600.0012,0.0934394,0.125508,-0.38196864253295615,0.9510414543623363,0.26414073071718536,0.0189632,0.20294650864624558,11,1461.0,11.69,246.08,3.15,3.15,-0.07738032152932421,0.47781824373274984,0.874251497005988,2,2.715,,3,3.1,-0.06620593582548195,6,3.245,-0.023742070679882387,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
30,NGC6362,10,1094.0,16.6287,97.4544,0.0945,0.099,-0.026794607823849934,0.11553801500020955,0.9895833333333334,-0.010050000000000003,0.0664833894837703,101,7.2,720.0,0.064503,0.107105,-0.35954477091457476,0.6444479465216543,0.31301708445236404,0.0170112,0.2637272684991396,27,2614.0,14.29,451.18,3.44,3.9,-0.12717996405902468,0.3581493473780798,0.7298050139275767,8,3.165,-0.1540547417002213,4,3.005,-0.3163421864438773,10,3.425,-0.026970643884754696,0,,,0,,,0,,,0,,,0,,,0,,,5,3.88,-0.36290336703278325,0,,,0,,
31,NGC6366,3,285.0,35.8006,83.4589,0.147,0.141,0.10699890080331742,,1.0992907801418441,0.13775510204081653,0.13775510204081653,101,7.2,720.0,0.113797,0.153848,-0.1620655641649868,0.23964710046127516,0.6333410188202663,0.017088,0.15016213081188431,12,1687.0,35.8,438.9,2.2,2.3,-0.09454432297075967,0.286995388300232,0.8391304347826087,3,2.17,0.05343714519995832,6,2.0549999999999997,-0.11856803976516311,3,2.4,0.10766903773126037,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
32,NGC6397,7,617.0,6.2001,98.8607,0.445,0.458,-0.07650288082574151,0.22559628947343122,0.9106145251396647,-0.05490983393545967,0.05490983393545967,101,15.000012,1500.0012,0.232354,0.465253,-0.2782771744323522,0.24132080248433363,0.491301702522177,0.0108436,0.046668445561513894,19,3517.0,6.2,186.23,5.02,5.39,-0.11303491222268584,0.13953506336392393,0.7376146788990826,10,4.99,-0.13501080701844678,2,4.385,,7,5.24,-0.07450384679197883,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
