cluster_id,p_null_DSI,q_null_DSI,p_null_theta,q_null_theta,p_null_theta_bayes,q_null_theta_bayes,p_null_consensus,q_null_consensus,p_null_physical_proxy,q_null_physical_proxy,p_null_rotation_free,q_null_rotation_free,p_null_profile_shuffle,q_null_profile_shuffle,p_null_combined_conservative,q_null_combined_conservative,empirical_null_significance
NGC5904,0.688786224275515,0.996980060398792,0.817163656726865,1.0,0.992320153596928,1.0,0.674746505069899,0.996080078398432,0.0049665011166294,0.0099330022332588,0.472717576080797,0.945435152161595,0.0003332222592469,0.0003949300850333,0.688786224275515,0.998000066664445,not_significant
NGC5927,0.946121077578448,0.996980060398792,0.98680026399472,1.0,0.99910001799964,1.0,0.818183636327273,0.996080078398432,0.584380520649312,0.692599135584369,0.882203926535782,0.992600246658445,0.0003332222592469,0.0003949300850333,0.946121077578448,0.998000066664445,not_significant
NGC5986,0.319533609327813,0.996980060398792,0.219655606887862,0.780997713379066,0.324993500129997,0.945435636741811,0.0818383632327353,0.290980847049726,3.3332222259258e-05,9.69664647542052e-05,0.124395853471551,0.398066731108963,0.0003332222592469,0.0003949300850333,0.319533609327813,0.998000066664445,not_significant
NGC6093,0.0283194336113278,0.275354492910142,0.0126597468050639,0.135037299254015,0.0473990520189596,0.231858219978458,0.0037999240015199,0.0303993920121598,3.3332222259258e-05,9.69664647542052e-05,0.0010666311122962,0.0113773985311601,0.0003332222592469,0.0003949300850333,0.0283194336113278,0.275354492910142,nominal_significant
NGC6101,0.922881542369153,0.996980060398792,0.9970000599988,1.0,0.998080038399232,1.0,0.962440751184976,0.996080078398432,0.407819739342022,0.543759652456029,0.827705743141895,0.992600246658445,0.0003332222592469,0.0003949300850333,0.922881542369153,0.998000066664445,not_significant
NGC6121,0.812523749525009,0.996980060398792,0.976560468790624,1.0,0.971760564788704,1.0,0.834743305133897,0.996080078398432,0.0645645145161828,0.108740234974624,0.65231158961368,0.992600246658445,0.0003332222592469,0.0003949300850333,0.812523749525009,0.998000066664445,not_significant
NGC6144,0.677566448671027,0.996980060398792,0.479830403391932,1.0,0.915961680766385,1.0,0.148937021259575,0.433271334573309,0.0045998466717776,0.0098130062331255,0.466784440518649,0.945435152161595,0.0003332222592469,0.0003949300850333,0.677566448671027,0.998000066664445,not_significant
NGC6171,0.985580288394232,0.996980060398792,0.997500049999,1.0,0.997040059198816,1.0,0.943841123177536,0.996080078398432,0.930702309923003,0.962823819851166,0.96496783440552,0.992600246658445,0.0009996667777407,0.001142476317418,0.985580288394232,0.998000066664445,not_significant
NGC6205,0.744785104297914,0.996980060398792,0.887242255154897,1.0,0.735985280294394,1.0,0.652486950260995,0.996080078398432,0.0182327255758141,0.0343204246132972,0.557681410619646,0.992600246658445,0.0003332222592469,0.0003949300850333,0.744785104297914,0.998000066664445,not_significant
NGC6218,0.585768284634307,0.996980060398792,0.71612567748645,1.0,0.746205075898482,1.0,0.420351592968141,0.840703185936281,0.0004666511116296,0.0011486796593959,0.362754574847505,0.892934338086166,0.0003332222592469,0.0003949300850333,0.585768284634307,0.998000066664445,not_significant
NGC6254,0.847303053938921,0.996980060398792,0.922641547169057,1.0,0.903061938761225,1.0,0.696046079078418,0.996080078398432,0.127195760141329,0.185012014751023,0.709943001899937,0.992600246658445,0.0003332222592469,0.0003949300850333,0.847303053938921,0.998000066664445,not_significant
NGC6304,0.971440571188576,0.996980060398792,0.993640127197456,1.0,1.0,1.0,0.863822723545529,0.996080078398432,0.813806206459785,0.8979930554039,0.936135462151262,0.992600246658445,0.0003332222592469,0.0003949300850333,0.971440571188576,0.998000066664445,not_significant
NGC6341,0.4747505049899,0.996980060398792,0.25997480050399,0.831919361612768,0.371172576548469,0.989793537462584,0.0944381112377752,0.302201955960881,3.3332222259258e-05,9.69664647542052e-05,0.247725075830806,0.720654766053253,0.0003332222592469,0.0003949300850333,0.4747505049899,0.998000066664445,not_significant
NGC6352,0.925561488770225,0.996980060398792,0.981920361592768,1.0,0.998560028799424,1.0,0.851162976740465,0.996080078398432,0.437718742708576,0.560279990666978,0.842738575380821,0.992600246658445,0.0046651116294568,0.0049761190714206,0.925561488770225,0.998000066664445,not_significant
NGC6362,0.863702725945481,0.996980060398792,0.983920321593568,1.0,0.971360572788544,1.0,0.905701885962281,0.996080078398432,0.154761507949735,0.215320358886588,0.727509083030566,0.992600246658445,0.0003332222592469,0.0003949300850333,0.863702725945481,0.998000066664445,not_significant
NGC6366,0.996980060398792,0.996980060398792,0.999980000399992,1.0,1.0,1.0,0.979140417191656,0.996080078398432,0.998000066664445,0.998000066664445,0.992600246658445,0.992600246658445,0.186604465178274,0.186604465178274,0.998000066664445,0.998000066664445,not_significant
NGC6397,0.985820283594328,0.996980060398792,1.0,1.0,0.997480050398992,1.0,0.996080078398432,0.996080078398432,0.932735575480817,0.962823819851166,0.964701176627446,0.992600246658445,0.0003332222592469,0.0003949300850333,0.985820283594328,0.998000066664445,not_significant
