cluster_id,hst_n_bins,gaia_n_bins,vel_n_bins,gradient_strength,anisotropy_abs,rotation_support_robust,profile_curvature,central_enhance,outer_disturbance,lambda_R_gaia,hst_eta,hst_sigma0,hst_rc,gaia_eta,gaia_sigma0,gaia_rc,vel_eta,vel_sigma0,vel_rc,chemical_complexity,data_quality_score
NGC5986,17,100,26,0.2777179884668,0.149029505438375,0.530225905520474,0.535274571482136,1.15182481751825,0.556931361514854,0.258631167477278,0.507627388837839,0.153589948291277,65.1811940978423,2.65014489084617,0.129209560437744,337.301394051899,0.40796085433093,7.71620220463996,53.7321461178458,,1.0
NGC6093,13,100,14,0.303202180518451,0.133578576796804,1.03668746880436,0.425676868989041,1.34461152882206,0.521062640683139,0.489729057307745,0.561221296956255,0.240735945166068,35.7064872730115,0.56822961726813,0.199968198097602,54.1506777586519,0.33990479144906,10.86412916631,18.3890302110786,0.225485565707748,1.0
NGC6101,8,100,11,0.159208082642176,0.0594929877070616,0.449687221504763,0.314120389945774,1.02046783625731,0.72935097162624,0.18595518874809,0.101881341083305,0.0540668227348471,29.6125616069946,0.479030442803571,0.0715539456964301,70.8058220094862,0.480764507445577,3.6441597719906,110.175163623043,,0.978482042633557
NGC6121,6,100,36,0.183150371839164,0.115403228792661,0.0908607559271751,0.271999067850864,1.26799007444169,0.686494481087255,0.059563135250746,0.0158968829756067,0.735513028332349,1.33541986737636e-06,0.529887025102689,0.530909593626631,316.376842908997,0.414048155712435,4.80758481009197,225.519218362783,0.485083462060617,0.9306048591021
NGC6144,5,100,7,0.184682619590533,0.281541950113379,0.613490892624998,0.479892528579171,1.05571030640669,0.672941261111085,0.379463711746521,0.0976075398810109,0.101484627717693,39.0361842931405,0.898954324095176,0.0975830021250663,100.353916459425,,,,,0.777050425921356
NGC6171,6,100,17,0.154409140962164,0.112179238754325,0.151056376458387,0.338176909024577,1.0,0.688297014425964,0.101872067301173,0.0771012153132144,0.141358895306049,29.5439411645329,1.78599707682542,0.129981393806516,414.069693716772,0.282836333878782,3.75057510887942,89.4443788688874,0.472434231587386,0.9306048591021
NGC6205,21,100,32,0.23235994802025,0.103375362205341,0.223121917094082,0.257044237110287,1.16944801026958,0.634596372534482,0.141977031025675,0.1854691788925,0.257339332556336,36.8673972428736,0.517648278488145,0.23040310329191,137.672595457754,0.392053940524391,8.80911328035971,81.4031623526711,0.612886281945375,1.0
NGC6218,11,100,34,0.217220653184555,0.118487654320988,0.281387845544432,0.39365766208568,1.22857142857143,0.642035675059669,0.167269952160036,0.337813946308445,0.188602366736456,83.8105848206106,0.694708221838159,0.197984885100323,170.467982425443,0.319489974742502,4.75017408766626,71.0735452287184,0.452274016589055,1.0
NGC6254,16,100,36,0.204182041086615,0.134580511260367,0.160858739065649,0.316475591727918,1.12565445026178,0.656983802114669,0.0623131084437289,0.553716927818057,0.255358226090047,117.488340942382,0.57143657789695,0.227715142664593,198.332089569603,0.526369983852179,5.98356645222962,139.381811645276,0.686900898962023,1.0
NGC6304,8,100,14,0.108416338081973,0.144405994398409,0.25561117283103,0.333992516673632,0.997020854021847,0.781504086754004,0.181623117778899,,,,0.267295836219328,0.175865288619421,38.6336156557101,0.621144175981314,5.41563983502706,96.7272704214292,0.459264116137936,1.0
NGC6341,22,100,33,0.253414222653518,0.187210281116375,0.702323212546756,0.215903164650892,1.11621233859397,0.564930924149425,0.276480371717589,0.40749926744051,0.20587418070101,51.5351550124109,0.483313861811476,0.292908684472664,30.351851146246,0.478593487726313,8.26576727763481,58.2308484928631,0.664693859722546,1.0
NGC6352,6,100,11,0.154626762273987,0.103517386675613,0.177527880871005,0.552319007157247,1.0,0.707506403950052,0.130948275964367,0.0376729837575015,0.127477049798966,21.112168604661,,,,,,,,0.910580143418936
NGC6362,10,100,27,0.173468658721902,0.0664833894837703,0.24953925073838,0.372804429302025,1.13372093023256,0.677468477237758,0.213423895440831,0.0268343386943991,0.143487706972759,1.04255475873588e-05,0.491847277232753,0.103451951203449,126.877754447406,0.82689125810427,3.59207533281575,248.369387741594,,1.0
NGC6366,3,100,12,0.0491028418847927,0.137755102040817,0.14426723036949,0.253231202166281,1.04545454545455,0.857254077914906,0.0992374770157529,,,,0.354844997533283,0.150280553824615,177.554056343998,0.275139660568032,2.35959596961511,187.004322804035,,0.782542290036644
NGC6397,7,100,19,0.16535432860387,0.0549098339354597,0.0400688887447853,0.199519867182329,1.07370517928287,0.713176968853641,0.022262666616776,,,,0.402847492093442,0.434942602631331,161.54484591657,0.183000557240961,5.57730736386618,33.1403075547574,0.603871564473988,0.967168210133835
